order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
644853,13072,train,31,1,14,14
2289597,13192,train,7,2,9,19
2900281,13221,train,14,4,11,20
928535,13280,train,45,5,12,17
1371172,13308,train,9,0,14,30
1773456,13449,train,22,4,17,12
2449055,13450,train,13,6,17,30
724124,13487,train,9,4,14,0
1931758,13549,train,5,5,10,30
3378984,13553,train,10,4,12,7
521770,13578,train,12,2,13,5
244650,13622,train,9,0,12,9
644718,13648,train,12,0,17,10
613572,13750,train,6,4,12,4
2473199,13811,train,16,0,11,30
952153,13849,train,11,6,12,30
890226,13858,train,4,4,13,30
1523093,13868,train,13,0,23,13
146992,13914,train,13,5,20,19
723720,14003,train,19,6,10,17
2333011,14157,train,4,6,14,30
1755762,14191,train,8,0,17,7
805875,14215,train,17,0,17,10
792527,14239,train,4,4,8,3
1393302,14286,train,4,1,19,30
550918,14346,train,8,0,14,9
1005487,14354,train,10,0,14,30
482916,14449,train,23,3,22,14
1541175,14592,train,6,0,13,22
3397701,14731,train,13,0,14,25
2932939,14740,train,18,0,20,30
2340640,14843,train,6,4,18,11
579214,14868,train,96,4,10,4
3190507,14922,train,46,1,12,30
1462865,15010,train,5,1,11,14
589268,15026,train,11,5,12,3
1443195,15567,train,11,5,8,30
2474486,15586,train,21,5,12,11
1295505,15619,train,6,3,16,30
837947,15684,train,8,4,7,30
628237,15731,train,12,1,11,9
926338,15751,train,13,0,10,3
3373162,15790,train,24,5,12,5
3420996,15818,train,16,1,9,7
392472,15844,train,10,0,13,23
1715082,15972,train,37,3,16,4
3095058,15986,train,17,5,18,5
1247458,15987,train,4,4,11,14
375970,16016,train,22,0,10,6
385989,16023,train,24,0,10,30
1198433,16163,train,60,6,8,9
2811965,16217,train,12,5,12,8
292419,16256,train,19,6,17,12
3210863,16344,train,4,6,13,30
2014827,16394,train,9,2,18,30
3102895,16403,train,6,1,10,8
3029561,16479,train,33,6,16,9
1675105,16504,train,40,3,11,3
2481344,16554,train,83,4,20,4
558998,16574,train,12,5,11,29
3399385,16639,train,9,1,18,15
1346134,16765,train,6,6,8,15
1993469,16856,train,22,1,8,21
229212,16910,train,6,4,18,26
682371,16912,train,15,3,20,10
3007553,16939,train,27,6,9,7
2572698,17094,train,15,5,18,30
2231739,17099,train,13,6,11,30
1496343,17121,train,18,2,16,14
162303,17221,train,19,1,18,30
2768547,17297,train,22,1,14,13
704924,17325,train,14,1,15,6
228747,17476,train,5,0,9,30
2256293,17477,train,7,5,8,30
3169127,17515,train,8,4,15,12
610370,17597,train,64,6,22,9
2574308,17651,train,4,2,19,30
109090,17690,train,6,3,9,23
1180826,17703,train,20,5,19,15
2781247,17712,train,5,0,15,30
2617807,17726,train,8,0,14,27
3199506,17748,train,37,0,12,9
1544121,17749,train,6,2,12,30
1962180,17760,train,7,0,9,28
2966776,17830,train,37,5,12,27
2738367,17840,train,20,6,16,30
1318792,18066,train,86,3,9,0
812581,18114,train,34,5,8,8
133473,18127,train,5,6,13,12
1904543,18159,train,18,2,0,15
17741,18191,train,98,0,17,4
1270199,18247,train,10,4,20,4
3162638,18281,train,15,5,16,9
642123,18283,train,5,6,18,30
2411552,18359,train,9,5,5,30
128440,18462,train,25,1,12,7
2672814,18469,train,21,1,18,16
787841,18486,train,4,5,22,4
2769277,18502,train,4,0,13,30
1983444,18519,train,11,0,16,2
2146702,18538,train,8,0,16,30
3260222,18589,train,53,0,22,6
946006,18677,train,21,5,10,30
887569,18679,train,27,6,11,12
865516,18760,train,5,6,19,6
44490,18859,train,17,1,11,14
69363,18897,train,10,1,8,27
2211105,18918,train,50,0,6,3
2356597,18933,train,7,3,12,17
411966,19050,train,11,2,10,14
373938,19149,train,14,4,18,26
2834070,19196,train,13,6,12,9
1074693,19198,train,13,4,13,8
2885101,19219,train,35,5,12,3
1946482,19239,train,16,6,9,13
3198267,19258,train,4,1,18,14
2706096,19594,train,22,0,18,30
2100330,19807,train,11,5,12,29
627645,19831,train,47,6,13,7
2985358,19909,train,5,4,12,30
794356,19917,train,11,2,20,30
2589145,19920,train,8,4,17,29
1040001,19993,train,4,2,14,30
2530661,20058,train,11,1,18,7
2195584,20133,train,9,0,7,3
3270657,20253,train,5,2,14,2
3128943,20275,train,16,4,14,11
2204162,20496,train,29,0,16,10
2334096,20498,train,32,5,10,8
1823099,20509,train,25,1,11,30
315977,20521,train,11,4,7,19
3036182,20630,train,4,6,13,30
3241842,20757,train,7,2,11,30
740957,20826,train,7,0,11,3
2823202,20871,train,6,1,15,30
76584,20894,train,4,2,17,6
1064918,20939,train,59,6,15,7
3420895,20949,train,7,1,19,21
2859605,20991,train,10,5,14,23
1131445,21055,train,10,2,7,8
1667854,21226,train,8,6,15,30
1738384,21283,train,100,5,16,5
377115,21467,train,6,1,13,30
3270880,21475,train,39,2,10,6
1399252,21491,train,4,0,14,14
347286,21492,train,9,0,10,17
1584542,21512,train,7,1,23,30
2973264,21584,train,8,5,9,30
851026,21682,train,8,4,10,6
1254937,21744,train,25,0,9,7
1409188,21798,train,10,2,11,6
1022232,21981,train,7,1,11,16
2097679,22233,train,6,0,14,5
1075175,22246,train,22,0,14,15
1814462,22274,train,100,5,16,1
857995,22380,train,8,4,14,19
1986228,22465,train,7,0,13,14
1250135,22493,train,23,5,10,5
2586867,22524,train,69,0,19,3
948900,22563,train,4,2,15,4
1122105,22575,train,12,4,14,17
1582931,22653,train,31,0,14,13
2702975,22654,train,22,1,12,8
808724,22662,train,28,0,12,6
2990754,22668,train,11,0,15,30
3245142,22671,train,15,6,10,30
1112805,22695,train,60,5,8,3
2994672,22744,train,5,4,14,30
738423,22912,train,17,0,21,7
1398520,22981,train,9,1,16,29
2722403,23049,train,12,1,17,1
2762365,23068,train,7,1,13,30
2194051,23098,train,6,0,11,13
2121723,23229,train,13,0,2,30
1080823,23240,train,37,2,12,9
1694633,23495,train,43,1,13,5
1305220,23575,train,11,2,14,6
276318,23926,train,5,0,14,30
3029598,24049,train,26,1,16,7
1188438,24053,train,18,6,17,20
3009798,24158,train,34,6,14,29
2921767,24217,train,11,6,10,30
3346063,24284,train,10,4,10,12
933102,24328,train,13,5,7,6
2707350,24400,train,6,5,11,30
98229,24454,train,4,0,16,7
1009901,24488,train,63,0,14,3
1955874,24516,train,16,5,18,30
1159086,24538,train,4,1,14,14
1692969,24626,train,11,1,18,1
2271558,24665,train,18,6,11,16
472760,24862,train,23,3,12,9
1043150,24915,train,11,3,8,15
1005265,24916,train,4,6,8,21
650594,25042,train,35,2,18,5
1716614,25056,train,11,3,9,26
859180,25100,train,14,3,18,30
142607,25146,train,17,5,13,25
3080245,25203,train,6,1,19,16
902373,25216,train,5,2,10,13
215715,25223,train,46,5,18,27
1654007,25300,train,8,3,16,0
120025,25416,train,100,0,11,7
1922062,25489,train,8,1,10,3
1500639,25747,train,15,2,20,15
263321,25795,train,5,2,9,30
770216,25807,train,12,3,22,15
3217616,25849,train,11,3,23,11
1378195,25867,train,38,5,11,7
2271311,25937,train,31,0,21,4
2461949,25948,train,6,0,14,14
411498,26111,train,21,3,7,24
779597,26157,train,4,2,9,30
2359522,26190,train,18,6,10,30
1120673,26348,train,8,3,22,25
2793430,26511,train,4,0,19,16
377810,26607,train,40,1,8,7
2432706,26632,train,13,3,18,3
384639,26644,train,4,1,13,8
1632943,26909,train,13,1,20,18
1124212,26910,train,5,0,15,11
1760702,27196,train,4,1,10,14
103546,27207,train,16,1,16,30
3332351,27225,train,7,6,23,20
2419358,27267,train,10,3,12,30
2069443,27367,train,19,5,14,2
478812,27429,train,54,1,16,6
2838543,27456,train,34,0,9,4
3167268,27552,train,4,1,13,6
1736554,27622,train,26,1,12,9
1699405,27703,train,4,6,9,30
1337303,27756,train,4,6,11,30
683815,27832,train,40,0,15,6
29750,27930,train,7,6,19,0
2935657,28015,train,30,3,10,5
46254,28059,train,5,1,14,30
3357719,28105,train,6,5,13,23
2275315,28142,train,19,0,17,30
1766616,28177,train,17,0,6,30
1695309,28282,train,10,2,12,30
2104229,28301,train,7,6,13,30
2347517,28354,train,18,1,17,30
1168972,28460,train,33,5,13,21
2395806,28650,train,14,0,9,16
1438970,28724,train,6,1,14,22
196149,28750,train,7,1,12,9
2327674,28752,train,5,6,17,28
2401607,28775,train,100,6,3,1
788035,28860,train,7,2,15,5
2484130,28895,train,7,6,22,30
3324972,28950,train,41,5,10,6
223435,28976,train,12,0,7,2
335011,29172,train,60,0,21,6
3242054,29270,train,4,4,15,11
2284610,29402,train,4,5,2,14
475829,29423,train,8,5,23,30
1116775,29455,train,4,2,18,30
531241,29462,train,4,4,12,5
1292925,29527,train,7,2,1,5
1720258,29589,train,12,0,14,21
1599598,29679,train,5,5,12,30
332153,29758,train,38,1,14,8
3318609,29819,train,12,0,14,0
674780,29849,train,34,0,10,9
1649120,29944,train,6,1,11,30
1236880,30021,train,11,1,12,14
81061,30312,train,33,0,10,12
282411,30329,train,5,1,13,3
795403,30439,train,28,5,16,11
2284631,30484,train,11,4,14,14
483510,30552,train,4,0,16,30
855236,30574,train,26,0,17,23
2623987,30639,train,19,6,11,13
1956066,30748,train,17,4,19,18
1604927,30783,train,8,6,7,30
2486792,30886,train,4,5,16,30
306612,30960,train,12,6,18,6
1784728,30995,train,22,5,13,7
1146266,31155,train,4,0,7,23
489969,31251,train,4,5,19,30
1848169,31332,train,13,1,23,7
3347611,31425,train,16,1,10,15
2101176,31439,train,13,0,11,4
1567005,31708,train,10,1,16,7
2956404,31725,train,27,1,20,13
3092077,31741,train,10,5,12,22
2641634,31821,train,9,6,13,13
1919431,31840,train,41,5,11,7
570394,31890,train,8,0,9,7
2617566,31919,train,14,2,16,21
2782157,31977,train,23,0,20,8
1154446,32057,train,8,3,10,30
2018548,32074,train,4,6,10,19
2281828,32126,train,11,0,16,0
1515915,32238,train,9,1,5,21
983653,32241,train,10,5,8,30
2827809,32247,train,4,1,13,14
2581707,32374,train,4,0,18,29
3382739,32407,train,4,4,16,16
628947,32447,train,32,1,12,30
2458495,32500,train,12,3,7,30
682024,32544,train,6,0,12,30
2306425,32627,train,42,3,22,12
2171121,32637,train,6,5,12,30
3381234,32645,train,4,0,16,21
3408567,32782,train,10,6,15,10
327114,32811,train,8,3,19,3
1100380,32855,train,6,5,9,30
2662078,32856,train,6,6,12,28
2823198,32865,train,7,0,22,30
1282002,32921,train,7,1,13,18
2608948,32923,train,21,0,14,30
2894756,33018,train,5,5,15,7
3292703,33114,train,5,6,14,30
1133247,33185,train,4,0,17,30
2476996,33200,train,61,6,20,12
3045255,33226,train,5,0,9,30
637781,33263,train,58,0,13,7
3306985,33307,train,25,0,18,10
389648,33326,train,5,4,18,15
876505,33345,train,18,2,15,0
811992,33405,train,4,1,13,30
3360503,33525,train,32,6,16,7
559105,33527,train,8,3,10,24
1081770,33596,train,30,6,9,16
1178928,33599,train,14,0,12,30
854756,33731,train,100,4,8,2
893658,33798,train,12,2,9,30
2703125,34051,train,38,0,14,5
191912,34110,train,5,5,20,5
1955010,34248,train,21,0,17,30
3218271,34300,train,58,3,11,6
2460363,34315,train,8,5,13,30
2204245,34506,train,6,3,14,30
3006133,34561,train,7,6,10,30
26394,34598,train,6,3,19,30
3419634,34650,train,15,2,1,14
2838110,34732,train,18,5,13,4
95650,34757,train,13,6,9,30
449836,34795,train,14,5,8,9
2249558,34803,train,13,4,14,30
2305080,34848,train,10,4,6,2
2852297,34878,train,7,2,18,30
3122798,34923,train,4,6,12,30
1753471,34971,train,22,0,17,12
2923531,34998,train,16,0,8,24
1501656,35127,train,6,2,17,8
3042506,35290,train,8,3,15,30
1279811,35358,train,6,0,13,5
3169865,35362,train,13,5,8,6
2195625,35404,train,78,5,7,2
371933,35428,train,57,6,11,6
1021543,35487,train,50,5,17,17
3396543,35622,train,4,6,18,5
2294475,35657,train,8,1,10,7
1971003,35730,train,7,2,14,13
884188,35737,train,48,0,18,5
1885626,35755,train,34,5,23,6
581421,35767,train,19,0,18,12
1818483,35777,train,10,3,21,30
2587105,35844,train,5,2,16,9
232332,35983,train,30,3,9,14
1663854,35991,train,12,0,19,3
108611,36076,train,37,5,6,9
2772309,36118,train,18,0,15,4
125454,36206,train,8,5,15,30
3103358,36300,train,17,0,8,30
135341,36371,train,10,4,14,6
2148787,36422,train,61,0,12,8
2534479,36475,train,4,5,11,30
337852,36558,train,15,5,8,14
796397,36590,train,24,4,12,20
1869492,36653,train,14,1,16,6
545090,36749,train,5,1,9,13
1160454,36817,train,4,6,14,30
3027878,36882,train,7,5,13,30
892524,37093,train,58,4,16,6
3134874,37164,train,4,5,11,8
2321875,37177,train,16,3,16,3
3028728,37180,train,8,1,9,30
2591157,37273,train,25,0,10,19
3303549,37314,train,46,0,13,7
426410,37325,train,6,6,20,8
960693,37338,train,10,0,13,30
678985,37347,train,5,0,14,23
719165,37401,train,9,6,20,19
1154822,37419,train,13,5,14,26
1779127,37473,train,53,2,12,5
2657344,37487,train,68,6,17,3
1863378,37614,train,8,5,13,27
535453,37630,train,8,0,14,30
109274,37690,train,24,2,15,19
2226250,37746,train,4,4,19,21
1515281,37772,train,9,2,19,30
499639,37786,train,56,6,10,6
2155322,37789,train,10,4,17,7
2507383,37801,train,41,6,21,8
244571,37978,train,6,2,8,7
987602,37983,train,87,0,15,4
2738695,37984,train,8,6,17,30
2460693,38030,train,31,2,8,5
1966986,38121,train,7,1,9,7
341496,38141,train,4,2,13,9
783164,38142,train,6,4,10,30
1615256,38209,train,13,1,15,7
1767047,38239,train,15,0,9,30
2585808,38248,train,9,1,8,15
732511,38265,train,13,5,19,30
2549151,38355,train,24,0,10,8
3030811,38500,train,19,0,22,7
860286,38576,train,6,5,10,12
1209669,38868,train,5,0,12,29
2002482,38877,train,11,2,15,7
1282827,38980,train,32,0,8,7
954716,39068,train,29,6,11,7
998678,39192,train,7,4,17,30
1342745,39232,train,5,2,8,30
612690,39248,train,7,2,19,22
3219329,39257,train,18,0,10,30
975590,39332,train,9,0,13,21
855489,39369,train,6,2,9,14
3200114,39493,train,11,6,13,12
2893200,39632,train,10,6,11,16
1691092,39705,train,18,3,8,30
118716,39761,train,41,0,11,17
1104869,40023,train,6,2,11,30
1078433,40076,train,15,2,13,30
2068968,40176,train,7,6,10,30
1726919,40210,train,39,0,20,25
648800,40315,train,9,5,23,30
799001,40357,train,5,2,22,19
3240466,40369,train,17,5,17,23
1768039,40499,train,8,6,12,30
2768456,40596,train,20,1,11,17
1151455,40668,train,27,1,11,11
1102613,40712,train,15,5,12,13
571378,40840,train,18,1,15,9
437248,40918,train,5,5,13,30
2060637,40986,train,4,5,8,13
3061027,41089,train,6,5,14,30
3105215,41111,train,15,1,11,12
3346187,41202,train,16,3,8,16
2371155,41229,train,24,6,23,7
1908208,41247,train,55,0,19,3
1262071,41287,train,5,0,12,8
2159241,41303,train,24,4,9,8
255635,41411,train,5,0,15,30
1955366,41545,train,15,5,14,12
1791756,41546,train,12,6,12,6
390929,41712,train,6,1,8,25
1667549,41724,train,4,0,20,7
627481,41791,train,6,5,8,9
3414214,41822,train,7,3,10,11
2317763,41976,train,13,0,18,14
3327914,42042,train,4,3,21,8
2289546,42131,train,24,5,8,4
2068912,42178,train,63,2,14,6
2480277,42234,train,43,2,12,5
1011157,42276,train,27,0,14,24
2046400,42306,train,27,5,8,5
1035709,42346,train,5,6,17,30
402531,42398,train,4,0,16,19
897455,42415,train,14,2,14,30
2879667,42421,train,35,0,16,2
1310711,42455,train,29,5,7,18
256845,42485,train,10,4,10,30
2607930,42502,train,6,0,15,22
373666,42506,train,8,1,7,7
2059558,42638,train,9,6,16,5
701844,42679,train,7,6,17,20
429377,42737,train,46,3,11,6
3376171,42768,train,5,1,17,30
2954890,42789,train,34,5,17,30
1334633,42807,train,8,2,18,17
2168759,42812,train,11,3,12,28
3261021,42910,train,44,0,10,7
1181636,43290,train,4,2,8,19
31692,43334,train,33,4,15,2
2699319,43354,train,7,1,15,26
2614927,43365,train,89,3,16,3
1532271,43420,train,7,4,12,30
939192,43508,train,23,5,10,30
3052876,43525,train,6,6,19,12
461963,43610,train,4,0,18,30
3031849,43765,train,21,3,11,16
1500083,43815,train,9,4,10,2
2303071,43825,train,62,6,18,15
2499256,43872,train,12,1,11,30
1709280,43913,train,18,2,13,1
3324670,43990,train,36,5,14,7
722719,44178,train,15,5,14,5
548423,44194,train,10,4,14,22
377978,44273,train,22,4,18,3
44827,44297,train,15,1,8,15
2194125,44527,train,41,4,8,3
947003,44556,train,6,1,13,0
3191357,44675,train,8,5,11,14
1124393,44745,train,50,6,14,6
2254753,44821,train,35,5,9,7
3167542,44900,train,5,3,10,25
2195347,45002,train,19,5,7,15
194187,45033,train,49,0,14,7
1121279,45235,train,8,4,22,30
1119013,45237,train,6,0,19,30
2068987,45238,train,10,1,16,6
3185625,45285,train,8,4,7,15
131557,45432,train,7,6,22,26
3181741,45486,train,6,5,20,5
2554984,45532,train,4,0,11,30
3046588,45704,train,13,6,19,14
1512910,45784,train,25,6,7,5
2854553,45806,train,10,0,8,2
2308852,46078,train,31,3,22,1
2621480,46099,train,51,0,16,7
428590,46103,train,11,6,22,21
1526273,46132,train,17,6,17,15
2704288,46231,train,44,6,16,3
2738788,46503,train,9,0,14,20
2939563,46634,train,40,0,7,10
799833,46643,train,15,3,11,30
73354,46654,train,54,5,11,6
73020,46669,train,9,6,15,10
409778,46755,train,5,3,14,14
967195,46853,train,20,2,21,19
2536754,46914,train,4,1,9,30
466588,47005,train,6,1,14,25
1917797,47049,train,14,0,0,30
2474552,47242,train,8,3,13,26
3229562,47295,train,25,6,20,12
897708,47404,train,6,0,9,30
1708388,47489,train,5,1,14,30
1283531,47677,train,31,6,15,6
2207061,47705,train,8,0,13,22
3170244,47751,train,21,5,11,4
245913,47799,train,10,3,12,6
710927,47885,train,9,0,15,24
3022356,47953,train,4,1,10,30
2902299,47972,train,22,6,20,2
725476,48096,train,74,4,9,8
1077395,48125,train,33,0,11,30
2576298,48190,train,4,1,15,30
2419741,48229,train,18,0,10,2
1260631,48244,train,5,3,11,16
1599252,48255,train,8,6,20,30
591773,48370,train,28,6,11,3
857517,48396,train,10,5,16,20
2311098,48412,train,22,4,11,9
223902,48456,train,4,2,13,30
3067088,48649,train,10,4,11,15
2072771,48838,train,46,0,12,14
3117692,48890,train,100,2,14,6
253505,48945,train,16,2,7,16
2140634,49049,train,17,0,10,7
2143933,49366,train,11,6,19,30
597708,49577,train,7,4,12,7
508032,49580,train,18,6,12,30
2371059,49674,train,7,3,16,6
3193841,49683,train,33,2,9,7
297082,49770,train,30,6,16,7
3153851,49834,train,24,0,12,8
2376264,49899,train,7,2,13,30
2290545,50009,train,48,1,16,7
1247951,50019,train,10,4,20,16
1349969,50097,train,27,0,16,7
2343074,50121,train,25,1,8,30
519454,50136,train,6,0,16,30
3266886,50346,train,32,4,14,7
3312681,50362,train,32,5,9,13
2710557,50424,train,9,5,8,30
1479373,50566,train,5,0,13,30
1433262,50685,train,19,5,10,9
2496734,50692,train,4,3,13,30
24994,50723,train,4,0,19,7
3056376,51086,train,46,1,17,7
2973284,51140,train,25,6,13,6
1809078,51357,train,4,4,16,16
1987934,51480,train,18,0,15,11
180304,51600,train,6,6,8,30
1394331,51710,train,25,0,9,5
1529111,51862,train,31,0,14,12
1440182,51897,train,8,5,11,30
1368209,51951,train,5,6,14,30
1007079,51953,train,9,2,10,12
3484,51956,train,14,0,15,18
1282597,52038,train,26,2,14,8
1308998,52061,train,29,0,12,20
560337,52105,train,4,4,16,6
1884280,52111,train,15,1,10,30
72234,52142,train,4,4,20,2
160759,52144,train,12,0,15,5
1535432,52265,train,16,6,16,7
868130,52331,train,37,0,22,22
2266075,52337,train,49,1,14,6
1247313,52444,train,20,2,18,22
1638631,52457,train,5,1,10,30
1939093,52554,train,5,1,16,13
2016599,52572,train,56,6,16,6
3207020,52583,train,49,2,11,11
2482831,52627,train,22,0,18,7
1841493,52649,train,18,5,14,5
1361650,52681,train,6,0,18,12
262339,52806,train,15,1,14,16
1056320,52834,train,7,6,9,30
1228233,52915,train,6,3,17,20
1924025,52981,train,26,6,13,27
1282581,53093,train,12,5,19,12
1474125,53096,train,17,4,15,19
3211127,53206,train,10,1,17,28
569457,53224,train,10,1,10,6
1792967,53292,train,10,1,14,14
2734966,53447,train,6,5,11,7
503576,53544,train,20,4,13,30
3402855,53626,train,8,4,11,6
1083556,53652,train,5,0,12,14
2032614,53657,train,5,1,11,30
441166,53727,train,6,4,9,30
919401,53767,train,4,5,20,30
3239218,53829,train,39,3,11,6
1319868,54192,train,50,4,20,10
547558,54276,train,11,5,13,3
2181613,54290,train,24,0,19,23
1326764,54307,train,60,4,9,0
1565115,54390,train,5,0,15,7
2282785,54396,train,4,2,11,8
625228,54471,train,84,0,20,6
1869817,54541,train,9,1,12,28
2058932,54581,train,9,4,12,7
442014,54671,train,13,5,16,18
315472,54771,train,6,0,15,30
1482543,54956,train,16,6,17,6
422234,54972,train,5,4,15,24
1336173,55074,train,26,3,10,1
2488912,55077,train,8,5,10,22
292688,55116,train,32,6,12,6
2183662,55152,train,18,0,12,16
