order_id,product_id,add_to_cart_order,reordered
2520406,6052,6,1
2104977,40868,11,0
855236,20767,17,0
2985358,1935,1,0
504624,7515,3,1
286598,10991,7,0
1593064,42016,5,1
1287702,19549,16,0
2936596,32525,4,0
1462865,21938,5,0
2196203,35221,4,1
1650233,28985,4,1
309379,21137,11,1
1675113,49683,10,0
3022356,21137,15,1
3047430,22963,4,1
572437,9327,18,0
2336910,5876,14,0
85183,17207,5,1
1708223,358,4,0
3366155,27295,4,1
648800,10749,16,0
60770,11365,4,0
2793613,29395,11,0
3129899,20114,3,1
2104229,21616,6,1
1381739,28204,10,1
1969516,16965,5,1
143284,27966,2,1
1342346,5450,11,1
663916,17183,5,1
617419,11950,7,1
2541661,8518,10,1
2591942,5450,1,1
1829449,16759,17,1
1006489,10326,1,0
2501747,21137,22,1
24968,19678,25,1
3194880,45066,5,1
1357851,43713,26,0
2923531,43352,5,1
2326901,21694,7,1
3074851,47885,11,1
740957,39404,4,0
1969961,37646,11,1
2974484,46979,14,1
2151280,49683,1,1
2738367,5769,15,0
3117922,13176,31,1
2944196,44632,2,1
2064654,24852,10,1
142607,12858,11,1
2359582,43136,5,0
928535,11520,3,1
3957,13500,4,0
2434827,24852,1,1
1713022,9076,4,1
2005809,45916,2,1
109274,40055,11,1
610603,30214,9,0
2340640,17794,11,1
1269603,4781,11,1
2470374,11068,5,0
646772,43122,6,1
2038968,12149,3,0
851480,2014,19,1
1766563,44628,11,0
800255,44632,21,1
2270917,26209,4,0
1720356,28842,7,0
3166076,6087,4,0
416326,13535,16,0
2428092,49683,13,0
171486,27344,2,0
1053278,7021,5,0
2242139,13249,13,1
2474172,32578,6,1
736884,8723,22,0
2290253,35277,8,0
1162736,28270,28,0
2902299,25256,5,0
1598028,44485,16,0
1081649,49169,7,0
2733403,45613,4,1
1859465,48205,7,1
569457,28373,8,0
390101,28413,8,1
3133867,34005,9,0
2032614,28630,14,0
2474552,35534,7,0
600097,15386,10,1
890226,47601,3,1
1988698,1364,3,1
2903567,23375,23,1
240061,23543,5,0
2406535,21137,9,0
2976499,18441,24,1
128440,37215,5,1
351905,13774,2,1
733473,47209,2,1
3061169,2855,9,0
2195347,24441,2,1
1944404,23645,12,1
769346,32689,8,0
2751548,38739,5,1
1306897,40161,1,1
33001,19051,8,1
617445,36810,7,0
969512,29176,8,0
3237186,12332,15,1
2769899,27086,4,1
1039450,45066,5,1
1584542,4149,1,1
332116,17339,1,0
497643,1828,28,0
39970,48309,1,0
1085460,16759,10,1
1536431,35561,31,0
519454,29487,5,1
3052404,39491,24,0
439063,24699,14,0
642123,32655,5,1
228658,33120,3,1
3197072,25753,17,1
1870746,5764,21,1
2051841,26096,7,1
172736,44359,7,0
2947914,10585,6,1
1953041,39121,13,0
201073,44548,9,1
1931758,26639,1,1
3170000,196,2,0
3192883,23142,2,0
1083556,27344,5,0
2481846,18432,16,1
2864513,27531,3,0
2767026,8518,8,1
2059558,41787,2,1
95650,37935,24,0
741144,22935,9,0
225335,41220,17,1
285231,36418,8,0
2707800,22504,11,0
2547202,23805,11,1
2668353,28576,33,0
577283,34050,11,1
2623242,23919,35,1
2793430,28071,3,1
426410,3561,20,0
2374506,34448,20,1
1910087,2962,7,1
1590095,196,6,0
344642,45063,20,0
2343074,3298,4,1
1814462,2388,1,1
3207020,4232,2,1
3238226,9736,4,0
389000,48423,25,0
2490132,11130,5,1
1269532,7175,1,1
594200,35353,3,0
3414331,30391,13,1
398910,36918,8,1
1970017,46149,1,1
2312145,22825,18,0
1009446,24928,12,0
1666206,21019,4,1
3097248,2116,15,1
3382300,19734,17,0
857197,49683,9,1
1949941,17191,14,0
927605,46906,3,1
1246465,32534,15,0
685478,26315,10,0
84011,28985,17,0
2389538,13646,6,1
2251577,38970,3,1
1588260,41290,2,1
276574,39534,2,0
180304,44987,7,1
367338,44170,1,1
641659,27521,10,0
607550,22105,22,1
24994,18599,4,0
2799612,35535,8,1
2254359,47766,2,1
2416355,2519,3,0
2128363,10749,1,1
1591687,38768,3,1
110704,48140,6,1
1282597,37646,2,1
2259437,43352,3,1
803642,23734,18,1
3151212,21903,1,1
476152,21265,20,1
2767640,41642,7,0
3284853,47734,6,0
2848773,29594,3,1
1259963,38003,13,1
1941338,34969,6,1
683815,45541,5,1
2687860,27104,7,0
2055066,28252,3,0
1720258,42356,11,0
848928,49235,5,1
949182,11889,42,0
1021543,15902,3,1
1897261,28380,7,0
1996464,28156,12,0
659886,27570,18,0
3206628,45007,2,1
1078433,2078,8,1
3010719,7379,5,1
2458021,41065,3,1
85920,26209,9,0
1848166,2635,1,1
627645,31553,8,1
510142,32478,1,1
1941618,26002,14,0
721146,2680,3,1
683520,41544,4,1
168473,21176,35,1
2621480,21938,14,1
1870170,27903,13,1
2047119,15084,2,1
1409188,48205,8,1
1382912,13870,11,0
2331827,22290,5,0
2607738,11777,7,0
2546277,35286,13,1
167220,17021,20,0
1409729,4146,9,1
3025933,10096,3,0
2786631,29987,6,0
568203,43713,13,1
1695233,30016,8,0
1417888,18460,8,1
1426830,24852,2,1
543569,29447,1,1
447980,20747,20,0
2133922,37257,17,0
1667854,43749,2,1
62059,33731,9,1
3358701,20914,2,1
1178928,24204,14,0
1796447,47209,9,0
1175539,19625,1,1
1430737,13838,1,0
2399278,5025,4,0
2670243,27730,6,1
17973,23296,7,1
774323,46222,2,1
145993,30391,16,1
1512709,1185,7,0
1656954,20345,14,0
704924,38557,3,1
3288563,7175,10,1
1187789,27845,2,1
715754,8174,3,1
2885654,8670,4,0
3083408,21137,9,1
3418070,42768,8,1
2289597,36307,9,1
3226672,18089,15,0
1516617,38844,11,1
1131445,42768,4,1
1363909,47144,5,1
628572,38383,17,0
2723751,18444,6,1
735717,45290,1,0
115747,27845,18,1
3136121,45104,18,1
779664,2361,8,0
1527126,27429,7,1
39732,42265,11,1
82206,26209,15,1
2713115,43760,2,0
3068504,46572,1,1
1003458,26209,4,0
2105368,23165,6,0
2768832,33572,5,1
1400434,43761,5,1
1238903,31127,14,1
2854969,14346,11,0
2837144,5819,7,0
2161862,44910,2,0
1611938,39928,3,1
387848,13176,18,0
2918149,47826,3,0
66324,47042,21,1
2811857,21150,13,1
2850918,24852,25,1
1762173,13176,1,0
1435511,40199,5,0
2681880,14212,1,0
2549777,47209,5,1
2663076,40681,10,1
185195,33290,3,1
1791756,2966,12,0
1273082,24852,2,1
259488,45954,4,1
112667,45633,8,0
483510,24097,22,0
1678287,44213,20,0
541244,16797,5,1
1393302,38693,2,0
389648,13988,2,0
1581476,17168,1,0
1501261,45002,2,1
228747,27104,11,1
958879,42829,18,0
1800329,38300,6,1
169045,44085,20,0
2973264,37710,6,0
2680744,4210,2,1
2430013,23226,7,0
1529111,36522,22,1
2476996,6274,3,1
1783355,48720,8,1
1657565,15100,8,1
333080,33787,5,1
1014860,26171,10,0
811992,22133,1,0
3004674,31478,17,0
3402313,1006,19,0
1581095,3431,2,0
2289546,14499,2,0
294026,39046,9,1
199559,44987,4,0
253655,36772,8,1
2828383,43337,3,1
2501619,9839,1,1
3228836,46667,10,1
1102314,15842,5,0
497998,196,1,1
392472,36640,14,0
1971195,13176,1,1
2431062,30811,3,1
898066,33911,14,1
2884695,26165,2,1
1709564,14379,4,1
2800782,23909,8,0
2643504,42356,6,1
1288792,14429,1,0
2742872,34448,7,1
550918,44310,1,1
3229562,16965,11,1
3144415,20114,18,1
580476,18362,1,0
72234,42117,5,0
103546,9124,9,1
600660,23016,8,0
2409841,26839,9,1
1189009,7781,5,0
2427530,16953,6,0
2266088,42611,18,1
394230,5770,8,1
1127364,32030,4,1
1175447,46175,20,1
2861725,47209,5,1
3407782,8574,7,1
2474486,49174,8,0
250058,14992,15,1
640063,41745,8,0
579214,24830,13,1
1167785,37646,9,1
1090415,22504,7,0
2781178,16953,22,1
191457,24024,13,1
2006067,34335,4,1
146992,39966,2,1
2154941,17872,3,1
878658,260,14,0
644501,35336,1,1
1685645,47766,6,1
2635178,47766,3,1
894617,21310,9,1
203202,22935,20,1
319324,4347,5,1
225600,33791,17,1
1122105,33209,6,0
3046588,24622,8,1
344189,49519,8,1
475829,10360,17,0
2199391,24622,2,1
850755,29987,2,0
1979263,17616,7,1
1317826,6492,3,0
253324,11408,15,0
2720211,27966,12,1
1983444,47305,4,0
1474125,47439,13,0
2733614,19760,7,0
2925339,6104,16,1
2486792,20221,3,0
1157020,22935,2,1
2966909,38293,9,1
284859,47626,15,1
2119252,13176,1,1
1129422,14386,5,1
1511664,31394,24,1
722498,49235,7,1
918803,5450,1,1
1092827,15925,8,1
841585,33037,5,0
985834,13176,10,0
1718286,45037,13,0
1410380,16283,8,0
1005994,30958,5,1
2939563,2450,7,0
1962064,49306,8,1
160759,33290,2,0
1693205,5013,17,1
2611670,3819,13,1
654955,9598,1,1
2629052,19514,28,0
1745001,45664,8,0
1004625,26604,8,1
1282816,44359,4,1
527945,25653,1,0
2704288,32655,11,1
1453804,31634,3,0
2388398,24852,1,1
1532271,21137,2,1
1515915,5883,10,1
184189,10895,3,1
952153,11182,28,1
2071953,19354,1,1
552468,40002,4,1
3201624,38490,2,0
2449092,31730,24,0
1977284,32578,14,1
713199,48628,9,1
1982547,47630,13,1
2796157,5134,17,1
1951577,28204,5,1
26318,283,1,1
826274,36423,16,1
3319516,18765,8,1
2410189,20406,24,1
628947,14508,18,1
2472433,22105,9,1
1893317,30700,3,1
3169965,38730,5,1
2028964,35321,12,0
2333011,49257,24,0
1009901,24852,4,1
2772574,27323,25,1
1351719,42315,20,1
1922062,40310,2,0
785637,35042,19,1
918151,25824,17,1
422234,5876,6,0
3015792,40670,4,1
2356597,23801,29,1
3290255,43320,14,0
1932229,21137,1,1
3191357,42442,9,1
1233389,20379,20,0
1540934,3295,3,0
3172090,10504,7,0
1429603,19186,23,0
133473,27676,15,0
1410433,36397,3,0
2482831,33543,7,0
2406264,28934,20,1
409778,32455,4,1
1165962,16202,23,0
3128441,46960,11,0
860286,4357,4,0
691500,16797,16,1
793286,3108,7,1
3312681,42891,12,0
2823198,17795,13,0
1644648,1364,1,1
950002,43945,5,1
2331854,26062,34,0
2461484,26668,17,1
1026638,47766,3,1
1092827,47626,13,1
449923,22876,2,1
1181750,33956,18,1
924272,38167,5,0
1511653,12157,17,0
1120673,27521,25,1
1917765,26900,2,1
1848166,25093,10,0
347286,26940,3,1
1615787,30776,4,0
2428857,37067,1,0
1682847,44910,9,0
1999934,17630,29,0
3366245,47209,4,1
996709,22935,5,0
2007043,43631,1,1
2567144,21137,8,1
2855574,29987,6,0
315472,40745,10,0
2319159,18918,17,0
2255367,27845,1,1
2329546,41149,8,1
548423,32478,1,1
482916,45946,6,0
2408045,13225,24,1
662460,13974,3,0
1413782,10343,2,1
280429,34448,26,1
1663854,24852,3,1
913804,22963,8,1
2052796,11826,3,1
698752,17691,4,1
3372838,46562,2,0
1630716,46979,2,0
998678,38679,2,1
1011157,248,6,1
2200872,45346,7,1
550749,38847,5,0
2545884,44514,8,1
557003,27845,1,1
255635,28578,7,0
1099741,45353,12,0
728096,25199,3,1
970393,21553,2,1
1408868,2493,33,0
2817917,27179,11,0
430808,32877,16,0
598401,46979,8,0
3088960,13629,11,1
136917,13083,4,1
1440182,40906,16,0
2815119,42736,10,1
755436,9839,1,0
444786,30292,2,1
437248,54,2,0
3115641,47766,19,1
3254869,46667,11,1
2872508,45512,17,0
3306985,5994,20,0
60372,32890,3,1
2282785,43352,4,1
3273662,10369,5,0
1675769,24852,2,1
17829,47209,7,1
2768547,32184,12,1
787841,43768,7,1
2079144,49209,12,0
162130,196,1,1
878982,21616,11,1
1095339,34347,7,0
1011957,40742,1,1
2101176,23734,3,0
486647,2433,18,1
2401607,30720,1,0
1104764,36149,1,1
1302446,43192,12,1
531241,7597,2,1
1201039,30219,4,1
2368422,40449,4,1
2148281,21616,1,1
1440117,10060,10,0
3007553,41844,14,0
634618,36591,3,0
339941,27313,7,0
2168759,46889,20,0
125454,4235,17,0
837947,37710,5,1
171269,14858,27,0
613572,40516,1,0
2327674,7751,2,0
903107,14778,2,1
3344543,6317,19,1
3245142,34005,13,0
1736119,46088,3,1
3029722,44204,26,0
1611487,28157,1,1
1766616,196,3,1
2289364,12519,2,1
1319510,14233,1,1
758614,37923,1,1
51335,47626,1,1
1279811,35167,2,0
2156254,31343,19,1
1885985,21616,8,0
2100415,21903,5,1
2805533,46793,33,0
1342745,40174,1,1
947003,35898,24,1
97455,46886,25,1
337286,5161,4,1
463895,46313,5,1
1468188,35628,7,1
1575871,23049,14,1
548002,21709,1,1
2985224,44359,21,1
3056376,39099,1,1
3162638,21137,4,1
1430612,19624,17,0
97861,11755,9,0
2662078,35221,8,1
1401017,41339,1,1
3266886,12811,4,1
1997507,7241,8,1
1025582,22767,45,1
201681,9550,21,0
449836,12980,18,0
779687,48171,1,1
117018,4472,5,0
510341,25985,2,1
3419156,1952,5,0
1703307,2832,32,0
328367,2295,5,1
57969,19057,13,1
827482,24852,1,1
1934139,47766,2,1
118332,43143,6,1
2481344,35221,4,1
237738,8727,2,0
2271311,12606,2,1
3373607,47766,5,1
1615256,47209,9,1
371933,46650,9,0
505607,196,1,1
18769,21903,2,1
338348,45033,1,1
3281311,16797,2,1
1612869,21137,18,1
1026705,13176,1,0
2203380,16387,24,0
2306503,19660,4,1
194187,11712,4,1
688936,42282,3,0
738423,43662,7,1
2395944,38273,19,0
719165,22677,3,1
3100970,43713,15,1
1719501,1158,3,1
453759,45007,19,1
1361193,23794,2,1
1959501,40706,5,0
1501847,5031,2,1
3336623,34137,10,1
610370,43295,4,0
2263833,38768,7,1
1546270,7628,3,0
291687,5618,15,0
377115,17878,4,0
1084714,48679,12,1
3325666,17988,2,1
3036182,47492,12,1
2456288,46979,29,0
654296,49683,20,0
2973912,30391,5,0
1849458,47209,1,1
2207390,44653,4,1
689047,9411,1,1
607445,24962,5,1
3216783,28985,10,1
306612,25138,7,1
3260371,790,1,1
1443712,5134,12,0
2157344,5825,3,1
33771,40214,3,1
98229,26369,2,0
3092077,45437,12,1
2890510,15261,6,0
1364009,21137,8,1
508051,21903,9,1
2769277,42587,1,0
3414214,21385,19,1
3166179,39101,1,0
2207468,46820,1,1
1557482,47854,8,0
1573128,31502,2,1
1359133,22031,24,0
3347611,38510,12,0
1551842,29223,5,1
3212669,38159,15,1
338650,8277,13,1
2823202,17859,1,1
139588,24830,6,0
1578587,6813,13,1
207425,39581,3,1
2307420,32030,12,1
960693,12206,19,1
2163477,48004,5,1
3332351,34126,6,0
704708,33548,6,1
1753164,42828,18,0
795403,31883,4,1
17741,5876,7,1
919637,4605,7,1
244650,21903,5,1
2201462,43961,8,1
2703125,44449,4,0
951085,18618,5,1
13988,10948,13,0
946006,9076,2,0
1001621,33120,1,1
3167268,1242,16,0
2034768,27783,15,0
3241842,31248,1,0
472760,29848,9,1
3115525,5258,1,0
603384,49235,27,1
1894619,37228,23,0
571378,15937,23,1
339941,10892,2,1
1409109,17650,6,1
574323,26188,25,0
2719945,38650,19,0
528122,45007,17,1
1172369,10749,12,1
114289,37067,5,0
2001987,28450,5,0
2004171,44449,2,0
2015262,14197,16,0
1210450,22825,3,1
1512910,45488,16,1
1216882,37067,8,1
3327683,10673,5,1
2986355,18168,13,0
1520320,45007,13,0
697382,12699,24,0
3218271,11777,4,1
3000463,24184,6,1
276318,31663,21,1
3267371,29307,12,1
1729327,24506,7,0
2885101,10246,4,1
2155322,37615,4,1
1312449,25705,6,1
2623987,4957,2,1
2722403,47380,2,1
1773456,30489,5,0
2243912,42097,13,0
1748911,2295,21,1
685985,49156,1,1
2237873,34049,10,0
343610,23810,23,1
2538141,14414,1,1
2979827,40199,3,1
1966986,18811,1,1
682371,2452,18,1
2057284,22226,11,0
245179,2716,30,0
2588247,45066,9,0
2190408,554,12,1
2355953,26351,22,1
792176,42987,10,1
326540,39578,17,0
3180214,6631,3,0
2010013,9515,4,0
964244,2954,1,1
2610040,2825,11,1
3185625,13870,1,1
644718,5876,16,1
3205244,32566,7,1
1929835,42736,8,0
402531,47626,6,1
2275315,34956,19,1
3142996,12719,23,0
1498264,24810,2,1
346985,24852,2,1
3385849,41259,11,1
1611735,17316,3,1
659793,11005,13,1
1157053,31883,4,1
1682573,45004,1,1
1682034,11576,10,0
1810873,11572,6,1
3136404,25720,18,0
101235,34688,3,1
899497,24816,7,1
2549151,23126,11,1
884188,27845,10,1
120025,48137,3,0
2711134,46979,10,0
257948,39928,8,1
553100,2099,8,1
2195625,24561,12,1
334643,47626,1,1
1181636,34022,16,1
3318609,49376,2,0
3236783,8479,20,0
1587869,13176,4,1
849534,38739,3,0
1305220,18023,5,1
521770,46584,1,1
722719,36522,4,1
2558200,25659,31,1
2112974,6902,10,0
987602,44910,11,1
1174881,7156,12,1
3179593,41970,11,0
2009673,30391,8,1
187107,6218,13,1
2950266,35045,8,1
1524377,13176,8,1
1147584,22255,11,0
1559569,13646,1,1
3281236,34244,14,0
3015410,47877,1,0
698950,18234,11,0
2615303,3289,7,0
1216743,49667,2,0
983653,5785,7,1
2966311,21903,6,1
2741313,19660,1,1
496689,44189,3,1
1620314,46526,10,1
2174043,30720,3,0
3217422,42205,13,1
670166,260,13,0
1398520,40516,4,0
1938710,46061,8,1
2827780,38557,20,1
3324670,40706,3,1
1021926,28987,11,1
2381101,20754,9,1
1349969,25371,4,1
2290545,24852,2,1
3032116,47766,8,1
3141118,7805,1,1
843692,43154,4,1
1885519,13176,5,1
2554984,35510,5,1
2790111,36032,15,0
2775070,38077,7,0
3019199,32463,1,0
2369300,21616,9,1
3237892,7835,14,1
2469742,7135,7,0
338535,21137,1,1
174322,39180,5,1
3214480,2519,3,0
1380391,23296,5,0
428590,44368,1,1
1694633,8247,8,1
61280,36994,5,1
2792577,47626,13,1
1070297,14814,4,0
712350,11361,5,0
2610335,30918,4,1
1443195,35503,5,1
650147,15599,7,1
1376589,4871,6,1
612690,49314,33,1
3028213,37940,1,1
2480815,9913,5,1
2455822,5248,9,0
1647185,15976,4,1
2294475,24184,4,1
748535,1749,2,1
1027190,47366,3,1
1387646,30391,14,1
2292551,12845,12,0
2334096,17206,2,1
2009327,45437,1,1
3246632,8069,15,1
1022232,11808,9,1
693317,26197,14,0
2893200,21153,7,1
2248546,3515,6,1
292114,5748,23,1
1493214,41966,9,1
1498364,7802,5,0
2966776,19660,5,1
660514,12442,9,0
741563,20015,5,1
1263905,28199,7,0
3126571,33135,6,1
2742820,12341,4,0
2548840,37220,3,0
1825332,38456,6,1
2854455,46868,18,1
1529874,13176,4,1
3257487,33352,11,1
535453,10957,6,0
2750455,6933,2,1
602522,12044,14,0
3284040,28278,13,1
54166,46667,8,1
1112902,20561,20,0
1556081,30391,10,0
1785418,18583,4,1
809920,4472,2,1
3147373,15768,3,1
3012764,20738,35,1
2784192,6182,1,1
1934929,34969,7,0
1588827,39275,21,0
422787,30696,9,1
1674689,35561,3,0
2283887,6656,2,0
2586867,7751,2,0
3416459,5060,8,1
241717,28199,7,1
1592300,4920,5,1
1288248,23383,3,1
2053699,27044,5,0
1356177,41950,16,1
1124212,11520,1,1
1308998,44632,15,0
336192,41290,2,1
73020,32642,3,1
1762597,162,4,1
1708388,22328,12,0
792527,19446,4,0
81061,46990,13,1
1757358,37656,8,0
692804,21688,9,0
3071210,29589,5,1
2613166,1086,7,1
931827,32429,20,0
2131359,26480,13,1
455029,42504,1,1
471111,35510,8,0
2746521,28289,14,0
14454,40261,6,0
2563758,16797,5,0
2728384,24852,4,1
1295505,447,8,1
852885,12672,1,0
1711092,47209,3,1
1823099,6587,4,1
2058932,10782,15,0
1919645,26209,8,0
1129027,8174,9,0
897708,34126,3,1
597708,39040,15,1
911690,21286,16,1
919768,21616,1,0
2651424,3145,16,0
1753410,49628,6,0
1043150,8518,4,1
219841,20919,4,0
2424099,10121,4,1
1671786,44156,4,0
3246256,34358,8,1
808999,13740,9,1
351776,49235,1,1
876505,30391,8,0
1571780,25533,17,0
2222679,37220,13,0
2659390,21872,6,1
2853413,38739,4,0
2724923,27086,1,1
2722606,24983,12,0
933102,32864,10,0
358609,22959,2,0
1802119,40604,16,1
466588,31692,39,1
2171643,34993,15,0
2954890,21019,9,1
3392896,37988,37,0
1249047,21137,5,1
21029,25821,11,0
637781,27845,2,1
2303918,27521,13,1
699903,49267,12,1
839135,33206,7,1
130920,47626,13,1
2546332,9227,17,0
2529208,21134,9,0
2254270,46393,14,1
2210475,30217,1,1
918995,920,1,1
603293,7559,2,1
1028953,28904,2,1
41665,28104,13,0
2676810,24954,22,0
499716,1468,1,1
1314323,16977,6,1
3199506,42899,5,1
961067,21137,3,1
337852,31805,5,1
2370731,21903,30,1
1019704,45258,24,1
2062131,780,3,1
2307995,41387,4,0
897455,47734,11,1
2473199,10190,4,1
174322,30776,1,1
862461,4410,2,1
3176792,21267,12,0
81117,39993,5,1
1005265,27966,11,0
2651760,41808,5,1
676180,19894,1,1
1526273,36552,9,1
3128943,44570,8,1
1956066,33044,1,1
2614427,39408,28,0
1604927,6182,6,1
3028728,12323,1,1
3083761,33527,16,1
2535661,10673,2,1
3181741,22720,2,0
3343536,2452,22,0
2014827,43772,24,1
1049343,11925,14,1
2248227,31663,2,0
2534479,38371,3,0
1228500,26088,6,0
1933620,43908,7,1
1671948,25043,19,0
467591,8518,5,0
1869817,37635,12,1
3136877,34862,9,0
2482721,46709,6,1
740700,36256,5,1
3327914,42403,21,0
3360503,30700,3,0
1218156,38909,26,0
2815701,24273,11,1
3217616,33086,12,0
3122798,4421,5,0
1515610,37646,12,0
1334633,46175,13,1
1500373,3957,9,1
1830278,5819,16,1
323728,21137,13,1
2670173,13709,23,1
2706142,46650,2,1
1779127,6347,1,1
3087316,26914,1,1
859180,47141,1,1
926338,36070,7,0
2608232,17454,31,0
954899,15866,4,1
2672704,20985,6,0
2173360,21057,16,0
2857242,13385,8,0
2826285,47209,4,1
2836412,44426,11,0
2171676,22882,15,1
3008145,8469,10,0
2064965,48205,3,0
1975156,15269,12,0
2432706,2677,7,0
104170,8018,2,1
3225613,17343,38,0
2417708,39812,15,0
1513379,11420,17,0
2311098,18019,12,1
3091196,47223,6,1
2538020,2295,1,1
1908208,39303,7,1
2226948,7916,5,1
252754,28476,2,1
2303071,36962,2,1
3113403,5271,24,0
2063183,24852,1,1
399721,40706,9,1
3216266,4605,5,1
1693132,18598,2,1
3163322,30391,11,0
3241461,28199,6,1
1690441,36618,21,0
1420902,10565,1,0
204378,13263,3,0
320037,15613,27,1
1688121,35233,3,0
402814,5134,14,0
2560340,39719,5,1
682024,33587,3,0
2500057,47766,19,1
1704886,11826,3,1
1904866,21938,1,1
621430,36164,1,1
949581,2238,5,0
2068987,31275,12,0
1362730,4605,13,0
970215,21013,4,0
2072771,31533,14,0
1751595,16953,3,1
531272,21417,33,1
1270199,7806,7,1
3269826,34243,1,1
3134387,6340,22,0
73354,48946,2,1
805694,16797,4,1
2255174,11323,5,0
2121633,40858,9,0
884455,33222,2,1
600985,28465,6,1
3040906,20161,9,1
347492,19578,5,1
1346134,5303,4,0
593239,17600,22,0
3293533,46667,15,1
3196586,11494,22,0
2922492,47766,2,1
387824,30391,3,0
2100330,46227,13,0
2011084,24852,1,1
1484197,37836,10,1
86762,4921,12,0
1188438,42625,12,0
3300549,14536,5,0
494597,4920,7,1
2102652,5612,16,0
1181590,39408,2,1
1983286,429,6,0
3272136,8350,26,1
3287863,9839,4,1
873961,22395,9,1
1426828,13176,1,1
1430062,22935,10,1
1904543,31134,11,0
2148337,46700,22,1
664237,27003,4,1
3239218,22227,19,1
1598119,29429,1,1
3346187,38456,5,1
1507949,22828,6,1
2019625,13874,17,0
1233517,5876,2,1
1109954,17044,5,0
3363401,36956,6,0
1029567,41488,27,1
913574,18224,8,1
336089,8654,6,1
1929781,18963,24,1
736545,49383,1,1
2143709,11777,3,1
2364095,4942,1,1
1344515,5077,4,1
239449,16223,1,0
667701,27177,11,1
1175815,2014,5,1
2557528,24759,1,1
1574057,11219,6,0
23978,43371,5,0
3104677,15683,19,0
2707350,33120,5,1
1987934,12745,8,1
3178977,18441,3,0
223902,44594,4,1
1406254,12118,12,0
1660775,19254,15,1
3006133,43316,18,0
3206640,45007,20,1
625318,6182,10,1
2589576,47672,5,0
856965,45190,8,1
2845055,24852,1,1
2706096,39928,8,1
484619,41950,7,1
2587105,2966,2,0
378945,28916,5,0
1535432,18811,1,1
1057693,40174,9,0
215493,45537,8,1
2493256,23375,9,0
1151455,23094,2,1
43443,3737,7,0
3067088,21903,9,1
2592096,16768,8,1
1916876,16866,4,1
757437,9554,12,0
279500,24852,2,1
2174949,21616,6,0
1793332,28476,10,1
1891387,49683,8,0
2939649,33288,6,0
3039840,23020,4,1
16097,45948,1,1
2529208,26096,16,0
2308852,27104,7,1
958906,46676,4,1
413274,18992,3,1
1029535,22007,40,0
918183,6873,8,0
3193841,30391,4,1
1620055,21709,1,1
3210863,31915,9,0
2211167,23288,3,1
44490,5258,6,0
57650,47734,5,0
3411016,28985,9,1
3031849,432,15,1
265952,35939,16,0
426862,49260,12,1
2274102,1700,16,1
481788,40338,6,1
1064918,33897,5,1
2790111,6142,8,0
